score,time,label,n,contrast,subject
0.007956126441747254,-0.2,t0_s0,668,wordfreq,04
-0.0016526166297548437,-0.19,t0_s0,668,wordfreq,04
0.015921056382712195,-0.18,t0_s0,668,wordfreq,04
0.026931748657379295,-0.17,t0_s0,668,wordfreq,04
0.008939027418496155,-0.16,t0_s0,668,wordfreq,04
-0.05826824700855952,-0.15,t0_s0,668,wordfreq,04
0.002258053451556746,-0.14,t0_s0,668,wordfreq,04
0.03170951636869357,-0.13,t0_s0,668,wordfreq,04
0.03351260359181266,-0.12,t0_s0,668,wordfreq,04
-0.09040894595420804,-0.11,t0_s0,668,wordfreq,04
0.03728830589676063,-0.1,t0_s0,668,wordfreq,04
0.033437181797341974,-0.09,t0_s0,668,wordfreq,04
-0.028752854145463518,-0.08,t0_s0,668,wordfreq,04
-0.06507574857058028,-0.07,t0_s0,668,wordfreq,04
-0.05749134856638003,-0.06,t0_s0,668,wordfreq,04
0.007398743352525147,-0.05,t0_s0,668,wordfreq,04
0.023858163938919954,-0.04,t0_s0,668,wordfreq,04
-0.01147513478341828,-0.03,t0_s0,668,wordfreq,04
0.04867473870368673,-0.02,t0_s0,668,wordfreq,04
0.10696898114951822,-0.01,t0_s0,668,wordfreq,04
0.08799569370909698,0.0,t0_s0,668,wordfreq,04
-0.016143601080625843,0.01,t0_s0,668,wordfreq,04
0.019568113329265183,0.02,t0_s0,668,wordfreq,04
0.020263178685654235,0.03,t0_s0,668,wordfreq,04
0.037831433908562986,0.04,t0_s0,668,wordfreq,04
0.04665696628948517,0.05,t0_s0,668,wordfreq,04
0.061445759017608875,0.06,t0_s0,668,wordfreq,04
-0.017620988931584078,0.07,t0_s0,668,wordfreq,04
-0.026067613733461316,0.08,t0_s0,668,wordfreq,04
0.04217255323202467,0.09,t0_s0,668,wordfreq,04
-0.025310688659369786,0.1,t0_s0,668,wordfreq,04
-0.04091286891694316,0.11,t0_s0,668,wordfreq,04
-0.0669988778929006,0.12,t0_s0,668,wordfreq,04
-0.021253315637806497,0.13,t0_s0,668,wordfreq,04
0.008625639458658524,0.14,t0_s0,668,wordfreq,04
0.0006635265422046823,0.15,t0_s0,668,wordfreq,04
0.025777119059422066,0.16,t0_s0,668,wordfreq,04
0.04695878283523445,0.17,t0_s0,668,wordfreq,04
0.04616101092751882,0.18,t0_s0,668,wordfreq,04
0.10732324959082502,0.19,t0_s0,668,wordfreq,04
0.07145477003916074,0.2,t0_s0,668,wordfreq,04
0.02104140169823145,0.21,t0_s0,668,wordfreq,04
0.06737210135845892,0.22,t0_s0,668,wordfreq,04
0.07178391698959481,0.23,t0_s0,668,wordfreq,04
0.09239770778714647,0.24,t0_s0,668,wordfreq,04
0.001659022015173055,0.25,t0_s0,668,wordfreq,04
-0.006208411157466723,0.26,t0_s0,668,wordfreq,04
0.00924112212926585,0.27,t0_s0,668,wordfreq,04
0.07425530838151621,0.28,t0_s0,668,wordfreq,04
0.041852471816541836,0.29,t0_s0,668,wordfreq,04
0.06376213969012115,0.3,t0_s0,668,wordfreq,04
0.04385262677181725,0.31,t0_s0,668,wordfreq,04
0.03358223723039111,0.32,t0_s0,668,wordfreq,04
0.043410583419081696,0.33,t0_s0,668,wordfreq,04
0.07410898927426965,0.34,t0_s0,668,wordfreq,04
0.03848265877402569,0.35,t0_s0,668,wordfreq,04
0.03581434032986957,0.36,t0_s0,668,wordfreq,04
0.036574647554500364,0.37,t0_s0,668,wordfreq,04
-0.011079079284421051,0.38,t0_s0,668,wordfreq,04
0.05224001009926879,0.39,t0_s0,668,wordfreq,04
0.041703569405150145,0.4,t0_s0,668,wordfreq,04
0.009125046159607453,0.41,t0_s0,668,wordfreq,04
0.042080466746532944,0.42,t0_s0,668,wordfreq,04
0.0584113901373426,0.43,t0_s0,668,wordfreq,04
