score,time,label,n,contrast,subject
0.003230139200539318,-0.2,t0_s0,668,wordfreq,04
-0.04010829357474458,-0.19,t0_s0,668,wordfreq,04
-0.04047108810850168,-0.18,t0_s0,668,wordfreq,04
-0.014016718848080499,-0.17,t0_s0,668,wordfreq,04
-0.021271131280715488,-0.16,t0_s0,668,wordfreq,04
-0.021590937733674043,-0.15,t0_s0,668,wordfreq,04
0.01054160490223843,-0.14,t0_s0,668,wordfreq,04
0.04598499963610874,-0.13,t0_s0,668,wordfreq,04
-0.0026668112080921306,-0.12,t0_s0,668,wordfreq,04
-0.04085265698856172,-0.11,t0_s0,668,wordfreq,04
0.09048074445620737,-0.1,t0_s0,668,wordfreq,04
0.09840684702403112,-0.09,t0_s0,668,wordfreq,04
0.009523929581426943,-0.08,t0_s0,668,wordfreq,04
-0.054596154614395334,-0.07,t0_s0,668,wordfreq,04
-0.053825747721573586,-0.06,t0_s0,668,wordfreq,04
0.03592024152275926,-0.05,t0_s0,668,wordfreq,04
0.02185909662412305,-0.04,t0_s0,668,wordfreq,04
-0.02541726084217817,-0.03,t0_s0,668,wordfreq,04
0.05547447135196778,-0.02,t0_s0,668,wordfreq,04
0.13923466172775706,-0.01,t0_s0,668,wordfreq,04
0.05811739617585755,0.0,t0_s0,668,wordfreq,04
-0.0020830473241635074,0.01,t0_s0,668,wordfreq,04
0.07864092683640032,0.02,t0_s0,668,wordfreq,04
0.06515239462159056,0.03,t0_s0,668,wordfreq,04
0.05573236570772584,0.04,t0_s0,668,wordfreq,04
0.006343628753664096,0.05,t0_s0,668,wordfreq,04
0.05354023669173353,0.06,t0_s0,668,wordfreq,04
0.018926478131823316,0.07,t0_s0,668,wordfreq,04
0.005688822562015978,0.08,t0_s0,668,wordfreq,04
0.05271337776140388,0.09,t0_s0,668,wordfreq,04
0.0008342455534190015,0.1,t0_s0,668,wordfreq,04
0.03653735312342443,0.11,t0_s0,668,wordfreq,04
0.015958559773794307,0.12,t0_s0,668,wordfreq,04
-0.0072402268244182956,0.13,t0_s0,668,wordfreq,04
